model_name,accuracy,precision,recall,f1,roc_auc
Logistic (baseline),0.9634661835748792,0.0,0.0,0.0,0.7294939149622777
Logistic (balanced),0.6624396135265701,0.07136715391229578,0.6859504132231405,0.1292834890965732,0.7575350741108127
RandomForest (balanced),0.956219806763285,0.13636363636363635,0.0371900826446281,0.05844155844155844,0.7178275806698075
GradientBoosting,0.9633152173913043,0.4444444444444444,0.01652892561983471,0.03187250996015936,0.7738318773616912
